Date of Download: 2023-06-13_15:16:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Parameters: Data Level:all  Trait List:  Trial List:11142  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,branching level counting|CO_334:0000079,dry matter content by specific gravity method|CO_334:0000160,first apical branch height measurement in cm|CO_334:0000106,fresh root yield|CO_334:0000013,fresh storage root weight per plot|CO_334:0000012,initial plant vigor assessment 1-5|CO_334:0000220,lodged plants estimation 1-3|CO_334:0000301,marketable root number counting|CO_334:0000169,number of planted stakes per plot counting|CO_334:0000159,plant architecture visual rating 1-5|CO_334:0000099,plant height measurement in cm|CO_334:0000018,plant height with leaf in cm|CO_334:0000123,plant stands harvested counting|CO_334:0000010,root color visual rating 1-3|CO_334:0000221,root constriction visual rating 1-3|CO_334:0000109,root evaluation scaled 1-5|CO_334:0000228,root length evaluation scaled 1-3|CO_334:0000226,root weight in air|CO_334:0000157,root weight in water|CO_334:0000158,sprout count discrete counting|CO_334:0000138,storage root neck length visual rating 1-3|CO_334:0000223,storage root shape visual rating 1-6|CO_334:0000020,thrips severity : visual 1-5|CO_334:0002084,total carotenoid by chart 1-8|CO_334:0000161,notes
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207310,AM1472A-109,,plot,5914914,202268IDEPR_cere_rep1_AM1472A-109_406,1,1,406,10,35,test,,0,36.81879607,170,7.589285714,2.55,4,1,3,4,3,170,20,4,3,2,4,1,2300,265,4,2,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207312,AM1472A-110,,plot,5914749,202268IDEPR_cere_rep1_AM1472A-110_432,1,1,432,10,9,test,,6,32.68501577,30,2.083333333,0.7,3,1,0,4,5,140,10,1,3,1,3,2,700,66,2,1,3,4,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207313,AM1472A-111,,plot,5914645,202268IDEPR_cere_rep1_AM1472A-111_350,1,1,350,8,3,test,,5,31.51530409,70,7.142857143,2.4,4,1,3,4,3,220,20,3,3,2,3,2,2200,194,4,3,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207314,AM1472A-112,,plot,5914083,202268IDEPR_cere_rep1_AM1472A-112_251,1,1,251,6,14,test,,,,,,,,,,4,,,,,,,,,,,0,,,,," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207315,AM1472A-113,,plot,5914156,202268IDEPR_cere_rep1_AM1472A-113_218,1,1,218,5,42,test,,2,38.45616523,60,12.94642857,4.35,3,1,7,4,4,120,20,3,1,1,3,2,3700,456,3,1,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207316,AM1472A-114,,plot,5913699,202268IDEPR_cere_rep1_AM1472A-114_717,1,1,717,17,13,test,,4,31.046875,30,2.083333333,0.7,3,1,0,4,5,110,10,3,3,1,5,1,700,60,3,1,1,,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207311,AM1472A-11,,plot,5914014,202268IDEPR_cere_rep1_AM1472A-11_486,1,1,486,12,43,test,,3,33.90305744,70,10.11904762,3.4,5,1,1,4,3,240,30,4,3,3,4,2,1800,181,4,3,3,,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207317,AM1472A-115,,plot,5914664,202268IDEPR_cere_rep1_AM1472A-115_255,1,1,255,6,10,test,,1,,140,,,1,1,,4,5,190,20,0,,,,,,,2,,,3,," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207318,AM1472A-116,,plot,5914421,202268IDEPR_cere_rep1_AM1472A-116_827,1,1,827,19,35,test,,0,26.05622155,120,3.720238095,1.25,2,1,0,4,5,120,5,2,3,1,4,1,1400,82,3,1,2,1,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207319,AM1472A-117,,plot,5913770,202268IDEPR_cere_rep1_AM1472A-117_563,1,1,563,13,35,test,,5,44.13823529,30,0.595238095,0.2,2,1,0,4,4,150,20,2,3,2,5,2,100,15,2,1,3,,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207320,AM1472A-118,,plot,5914932,202268IDEPR_cere_rep1_AM1472A-118_508,1,1,508,12,21,test,,4,37.38310658,40,1.785714286,0.6,3,1,1,4,2,190,20,3,3,1,5,1,500,59,3,2,3,,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207321,AM1472A-119,,plot,5913849,202268IDEPR_cere_rep1_AM1472A-119_591,1,1,591,14,26,test,,0,19.43979592,170,0.446428571,0.15,3,1,0,4,5,170,5,4,3,1,3,1,100,2,4,1,1,,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207323,AM1472A-120,,plot,5914740,202268IDEPR_cere_rep1_AM1472A-120_465,1,1,465,11,25,test,,5,35.77022472,30,2.976190476,1,3,1,1,4,4,160,10,3,3,1,4,2,900,99,3,2,3,,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207324,AM1472A-121,,plot,5914534,202268IDEPR_cere_rep1_AM1472A-121_162,1,1,162,4,15,test,,0,35.10671642,190,8.333333333,2.8,3,1,3,4,3,190,50,4,3,1,3,2,2700,288,4,3,3,4,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207325,AM1472A-122,,plot,5914955,202268IDEPR_cere_rep1_AM1472A-122_60,1,1,60,2,29,test,,2,27.93925886,40,2.976190476,1,2,1,0,4,5,120,5,3,3,1,4,2,1000,69,3,2,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207326,AM1472A-123,,plot,5914479,202268IDEPR_cere_rep1_AM1472A-123_835,1,1,835,19,43,test,,4,27.51428571,30,0.595238095,0.2,4,1,0,4,5,110,5,2,3,1,3,1,300,20,2,1,1,4,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207322,AM1472A-12,,plot,5915124,202268IDEPR_cere_rep1_AM1472A-12_408,1,1,408,10,33,test,,0,29.70503876,90,5.05952381,1.7,2,1,1,4,5,90,30,3,3,1,5,1,1400,110,3,1,3,4,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207327,AM1472A-124,,plot,5914574,202268IDEPR_cere_rep1_AM1472A-124_483,1,1,483,11,43,test,,3,30.39499121,60,10.86309524,3.65,5,1,2,4,2,220,10,4,3,1,3,1,3100,255,4,3,3,,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207328,AM1472A-125,,plot,5914012,202268IDEPR_cere_rep1_AM1472A-125_155,1,1,155,4,22,test,,,,,,,1,,,4,,,,0,,,,,,,3,,,1,," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207330,AM1472A-127,,plot,5913637,202268IDEPR_cere_rep1_AM1472A-127_750,1,1,750,18,43,test,,,,,,,3,,,4,,,,,,,,,,,1,,,,," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207331,AM1472A-128,,plot,5913549,202268IDEPR_cere_rep1_AM1472A-128_681,1,1,681,16,24,test,,0,,50,,,3,1,0,4,5,50,5,1,,,5,,,,1,,,,,"  (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207332,AM1472A-129,,plot,5913548,202268IDEPR_cere_rep1_AM1472A-129_338,1,1,338,8,15,test,,1,35.82574149,60,15.77380952,5.3,3,1,3,4,3,160,30,4,3,2,3,2,3600,397,4,1,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207334,AM1472A-130,,plot,5913526,202268IDEPR_cere_rep1_AM1472A-130_269,1,1,269,7,5,test,,4,36.67388481,40,18.30357143,6.15,4,1,11,4,4,190,30,4,3,1,3,2,4000,458,4,3,3,1,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207333,AM1472A-13,,plot,5913721,202268IDEPR_cere_rep1_AM1472A-13_141,1,1,141,4,36,test,,0,36.77485876,110,0.892857143,0.3,3,1,0,4,2,110,5,3,3,1,5,1,3800,437,2,3,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207299,AM1472A-1,,plot,5913679,202268IDEPR_cere_rep1_AM1472A-1_315,1,1,315,8,38,test,,1,29.97173913,40,1.488095238,0.5,2,1,0,4,5,160,5,2,3,2,5,1,500,40,3,2,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207336,AM1472A-132,,plot,5914147,202268IDEPR_cere_rep1_AM1472A-132_399,1,1,399,10,42,test,,3,33.09386897,80,9.523809524,3.2,5,1,0,4,2,250,30,4,3,2,3,3,2500,241,4,2,3,2,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207337,AM1472A-133,,plot,5914208,202268IDEPR_cere_rep1_AM1472A-133_611,1,1,611,14,6,test,,0,35.30524841,190,21.13095238,7.1,4,2,9,4,3,190,40,4,1,1,2,2,3000,323,4,3,3,,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207338,AM1472A-134,,plot,5913736,202268IDEPR_cere_rep1_AM1472A-134_527,1,1,527,12,2,test,,0,32.58172414,130,2.678571429,0.9,2,1,0,4,5,130,5,2,1,2,4,1,800,75,2,1,3,,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207340,AM1472A-136,,plot,5913615,202268IDEPR_cere_rep1_AM1472A-136_71,1,1,71,2,18,test,,1,35.29578442,30,16.36904762,5.5,3,1,4,4,4,160,40,4,3,1,4,1,4200,452,4,2,3,3,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207342,AM1472A-138,,plot,5914106,202268IDEPR_cere_rep1_AM1472A-138_711,1,1,711,17,7,test,,2,34.53019526,100,2.380952381,0.8,3,1,1,4,3,220,40,2,3,1,3,3,800,83,1,2,3,,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207345,AM1472A-140,,plot,5914047,202268IDEPR_cere_rep1_AM1472A-140_682,1,1,682,16,23,test,,1,32.00922166,100,11.30952381,3.8,4,1,3,4,2,190,20,4,3,1,3,3,2600,236,4,2,3,,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207344,AM1472A-14,,plot,5913938,202268IDEPR_cere_rep1_AM1472A-14_124,1,1,124,3,36,test,,0,32.73514056,90,7.142857143,2.4,3,1,3,4,5,90,5,4,3,1,4,2,2200,208,4,2,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207347,AM1472A-142,,plot,5914428,202268IDEPR_cere_rep1_AM1472A-142_818,1,1,818,19,26,test,,0,38.1847788,140,8.928571429,3,3,1,4,4,4,140,20,4,1,1,3,1,2600,317,4,1,3,1,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207349,AM1472A-144,,plot,5914767,202268IDEPR_cere_rep1_AM1472A-144_556,1,1,556,13,28,test,,3,35.77022472,50,16.2202381,5.45,4,1,7,4,3,210,20,4,3,1,2,2,3100,341,4,1,3,,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207350,AM1472A-145,,plot,5914378,202268IDEPR_cere_rep1_AM1472A-145_82,1,1,82,2,7,test,,4,36.34291465,50,4.017857143,1.35,4,1,3,4,4,180,10,1,3,1,3,2,1400,158,1,3,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207354,AM1472A-149,,plot,5914584,202268IDEPR_cere_rep1_AM1472A-149_324,1,1,324,8,29,test,,0,34.83494412,90,17.85714286,6,4,1,5,4,2,90,5,4,1,1,2,2,3400,358,4,2,3,2,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207792,AM1472A-150,,plot,5913576,202268IDEPR_cere_rep1_AM1472A-150_46,1,1,46,2,43,test,,3,37.65476911,40,32.29166667,10.85,4,1,13,4,4,180,20,4,3,1,1,3,4500,537,4,2,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207795,AM1472A-153,,plot,5915131,202268IDEPR_cere_rep1_AM1472A-153_153,1,1,153,4,24,test,,0,,130,0.744047619,0.25,4,1,0,4,5,130,5,2,1,1,5,3,,,3,2,3,1,1," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207796,AM1472A-154,,plot,5914383,202268IDEPR_cere_rep1_AM1472A-154_449,1,1,449,11,9,test,,1,32.02149404,90,3.720238095,1.25,3,1,2,4,3,140,5,2,3,1,4,2,1200,109,3,1,3,3,2," (Operator: lizbethpino, Time: )"
2022,174,CIAT,"CIAT cassava breeding, Cali, Colombia",11142,202268IDEPR_cere,202268IDEPR_cere,RCBD,1.2,2.8,,no,no,2022-July-29,2023-April-18,64,"Cerete. Cordoba, Colombia",4207355,AM1472A-15,,plot,5914330,202268IDEPR_cere_rep1_AM1472A-15_476,1,1,476,11,36,test,,2,35.48525641,120,12.35119048,4.15,4,1,5,4,2,170,20,4,3,1,3,2,3500,380,4,1,3,,2," (Operator: lizbethpino, Time: )"
